COUNTRY,INDUSTRY,CN1_26,CN1_27,CN2_26,CN2_27,USA_26,USA_27,CHN_26,CHN_27
ARG,9,0,2.89E-06,0,6.36E-07,0,0,0,0.000003526
ARG,16,0.140084902,0.286193499,0.114924744,0.063050096,0.015652522,0.032327472,0.255009646,0.349243595
ARG,19,0.264919617,0.463371223,0.217338333,0.102083381,0.697837406,0.604506095,0.48225795,0.565454604
ARG,22,0.251344281,0.43260745,0.206201216,0.095305942,0.295196013,0.289490007,0.457545497,0.527913392
ARG,23,0.004617466,0.005952468,0.003788139,0.001311363,0.021290544,0.083347026,0.008405605,0.007263831
ARG,24,0.140202171,0.649456838,0.115020951,0.143079126,17.70781299,46.84753014,0.255223122,0.792535964
ARG,25,0.021633224,0.046439904,0.017747757,0.010230981,0.62956463,1.435726072,0.039380981,0.056670885
ARG,26,0.168263373,0.02983193,0.138042178,0.006572148,0.41665098,0.066731511,0.306305551,0.036404078
ARG,27,0.021061751,0.031835214,0.017278924,0.007013483,0.542276326,1.454138868,0.038340675,0.038848697
ARG,28,0.031863909,0.05767774,0.026140944,0.012706742,0.08184876,0.601397646,0.058004853,0.070384482
ARG,29,0.105153112,0.417351124,0.08626693,0.091944885,0.055736607,0.212407871,0.191420042,0.509296009
ARG,30,0.001334795,0.001635054,0.001095057,0.000360212,0.001893708,0.003019913,0.002429852,0.001995266
ARG,61,0.137279444,0.095763608,0.112623164,0.021097281,0.195815485,0.058414912,0.249902608,0.116860889
ARG,68,0.081194199,0.028336849,0.066611194,0.006242773,0.260159503,0.142416283,0.147805393,0.034579622
ARG,84,0,0,0,0,0,0,0,0
ARG,85,0,0,0,0,0,0,0,0
ARG,01T03,0.317210995,1.102513229,0.26023784,0.242890089,0.001100573,0.000910997,0.577448835,1.345403318
ARG,05T06,0.034426279,0.117246351,0.028243095,0.025830054,0.021824202,0.008560717,0.062669374,0.143076405
ARG,07T08,0.004813612,0.036146144,0.003949056,0.007963206,0.008619739,0.027577717,0.008762668,0.04410935
ARG,10T12,0.126451593,0.189101496,0.103740066,0.041660161,0.071851238,0.064627705,0.230191659,0.230761657
ARG,13T15,0.685214333,0.625938997,0.562145389,0.137898008,0.086978175,0.042266318,1.247359722,0.763837005
ARG,17T18,0.025990618,0.021898531,0.021322534,0.004824374,0.073359558,0.129837805,0.047313152,0.026722905
ARG,20T21,0.86306104,1.508750178,0.708049672,0.332386456,2.323146794,1.891110943,1.571110712,1.841136634
ARG,31T33,0.010784837,0.010406056,0.008847811,0.002292515,0.030533284,0.018672065,0.019632648,0.012698571
ARG,35T39,0.002985339,0.00534785,0.002449153,0.001178162,0.007821656,0.006398256,0.005434492,0.006526012
ARG,41T43,0,0,0,0,0,0,0,0
ARG,45T47,0.743557156,0.860245021,0.610009461,0.189516991,0.948253795,1.232415514,1.353566617,1.049762012
ARG,49T53,5.087102402,4.639635735,4.173425773,1.022138788,0.88533236,1.603369041,9.260528175,5.661774523
ARG,55T56,0.008752339,0.006882913,0.007180362,0.001516346,0.019250007,0.007251579,0.015932701,0.008399259
ARG,58T60,0.083625572,0.057767583,0.068605876,0.012726535,0.223389053,0.07644814,0.152231448,0.070494118
ARG,62T63,0.399826382,0.269410852,0.328014967,0.059352781,0.860091602,0.259330061,0.727841349,0.328763633
ARG,64T66,0.008192108,0.009669291,0.006720752,0.002130201,0.00672087,0.008154438,0.01491286,0.011799492
ARG,69T82,0.871204913,0.712159448,0.714730853,0.156892876,2.341576594,0.924460211,1.585935766,0.869052324
ARG,86T88,0,0,0,0,0,0,0,0
ARG,90T96,0.002872374,0.004868336,0.002356477,0.001072523,2.43E-05,1.85E-05,0.005228851,0.005940859
ARG,97T98,0,0,0,0,0,0,0,0
AUS,9,0.239331751,0.718386406,0.196346214,0.158264711,0.042168342,0.026342082,0.435677965,0.876651117
AUS,16,1.823527972,3.964296987,1.496010505,0.873357727,0.065448092,0.050975113,3.319538477,4.837654714
AUS,19,0.760392521,2.173104604,0.623821086,0.478747607,0.080831903,0.052033618,1.384213607,2.651852211
AUS,22,4.42206513,9.219167602,3.627833514,2.031036345,0.299376905,0.388341444,8.049898644,11.25020395
AUS,23,0.908484841,2.000645062,0.745315064,0.440753765,0.230784493,0.754179947,1.653799905,2.441398827
AUS,24,239.2404935,1424.350519,196.2713471,313.7927192,11.78721639,30.90092875,435.5118406,1738.143238
AUS,25,4.002088637,10.537693,3.283287527,2.321515173,2.381481997,3.250724241,7.285376164,12.85920817
AUS,26,108.6087743,16.52264268,89.10193306,3.640034463,35.23016112,4.473799292,197.7107074,20.16267714
AUS,27,1.903316247,5.947508552,1.561468288,1.310270791,0.615056784,1.786694848,3.464784535,7.257779343
AUS,28,1.55643698,4.125984188,1.276890791,0.90897836,0.565311871,3.413867837,2.833327771,5.034962548
AUS,29,0.851713261,2.903695905,0.698740028,0.639701128,0.20559935,0.187095991,1.550453289,3.543397033
AUS,30,0.086787712,0.164054644,0.071200075,0.036142194,0.048249597,0.023444874,0.157987787,0.200196838
AUS,61,0.428672445,0.299454985,0.35168009,0.065971678,0.091943337,0.027403246,0.780352535,0.365426663
AUS,68,0.018844836,0.035155391,0.015460181,0.007744938,0.02023884,0.002906327,0.034305017,0.042900329
AUS,84,0.066359201,0.043815993,0.054440657,0.009652918,0.021090529,0.006258605,0.120799858,0.053468911
AUS,85,0.039035259,0.080161294,0.032024273,0.01766,0.009064197,0.003856334,0.071059532,0.097821294
