"","COUNTRY","CN1_26","CN1_27","CN2_26","CN2_27","USA_26","USA_27","CHN_26","CHN_27"
"1","ARG",10.645024136,12.724443802,8.733108668,2.803269115,28.831609274,58.132863823,19.378132804,15.527712917
"2","AUS",580.558852467,2045.3431573,476.286712066,450.601016065,90.467430665,64.862589574,1056.845564596,2495.944173186
"3","AUT",387.26003496,218.232813642,317.705617587,48.077960525,92.528563156,98.617659609,704.965652558,266.310774168
"4","BEL",160.736612518,231.950584123,131.86727299,51.100065294,77.968782137,68.497279582,292.603885508,283.050649471
"5","BGR",26.304776177,75.104130202,21.580267542,16.545877531,5.846519446,4.474185705,47.885043724,91.650007733
"6","BRA",142.540956676,417.551286236,116.939675131,91.988981512,119.660594311,223.944709138,259.480631803,509.540267763
"7","BRN",0.587501873657,0.58158393975,0.481982794994,0.128126466688,0.0510427301267,0.0256494358149,1.069484668651,0.709710406438
"8","CAN",526.880245937,1729.324370161,432.249131974,380.980235763,1083.038309152,2074.206161294,959.129377911,2110.304605724
"9","CHE",1916.309609033,710.03020186,1572.127957629,156.423790978,460.521440805,176.60536894,3488.437566659,866.453992853
"10","CHL",244.906558917,1299.408354759,200.919750457,286.267232428,66.744172612,165.386369538,445.826309368,1585.675587487
"11","CN1",489270.83314075,489190.975329897,281840.681989,86375.087560093,2444.336169677,2346.539342126,771111.515131,575566.0629269
"12","CN2",0,0,0,0,9036.594318809,2366.921054977,0,0
"13","COL",10.313556183,39.225452481,8.461174488,8.641595738,38.02642127,92.183074259,18.774730671,47.867048221
"14","CRI",16.6661129935,28.17192756189,13.6727708297,6.20643974518,9.133071129,11.762230369,30.3388838232,34.37836730907
"15","CYP",2.636262401,2.257454069,2.162772564,0.4973303271,0.49983167132,0.2240119933,4.799034965,2.7547843961
"16","CZE",183.715300835,148.365546082,150.718839622,32.685794379,35.091943867,42.011110982,334.434140459,181.051340458
"17","DEU",4795.392179491,3145.359542045,3934.108600708,692.94103584,822.356848487,808.175149505,8729.500780281,3838.300578225
"18","DNK",179.169604655,98.606836343,146.989580043,21.723660691,56.955515073,39.445338671,326.159184745,120.330497037
"19","ESP",189.218940426,210.645664847,155.233989848,46.406467431,72.315814999,87.784635082,344.452930331,257.052132277
"20","EST",18.411320459,9.9325939889,15.10452774,2.1882083617,13.678423374,4.012637253,33.515848199,12.1208023506
"21","FIN",153.225104429,143.726801205,125.704880555,31.663851826,42.174404906,51.268035771,278.929984963,175.390653036
"22","FRA",1144.081722472,732.220917374,938.597214955,161.312534904,287.656866615,265.149353117,2082.678937486,893.533452388
"23","GBR",933.842162925,524.014704776,766.118045637,115.443493008,410.364209159,310.721051757,1699.960208565,639.458197869
"24","GRC",4.326628503,10.948462009,3.54953796,2.4120099834,10.593612971,18.93158321,7.876166463,13.3604719924
"25","HKG",259.98428612,335.124530129,213.289419864,73.829886835,31.633743085,29.455836449,473.273705994,408.954417013
"26","HRV",2.835780962,3.554738914,2.326456197,0.7831296616,2.011323742,2.94050848,5.162237159,4.3378685756
