COUNTRY,INDUSTRY,CHN_26,CHN_27,USA_26,USA_27
ARG,97T98,0,0,0,0
ARG,90T96,0.00191998,0.001759763,2.62E-05,1.02E-05
ARG,86T88,0,0,0,0
ARG,69T82,1.105976515,0.494785861,5.68811064,1.095168668
ARG,64T66,0.002649999,0.001733411,0.006989164,0.002341968
ARG,62T63,0.231113163,0.085628287,0.231986202,0.035902895
ARG,58T60,0.164501069,0.047891488,0.512906628,0.08833863
ARG,55T56,0.006608985,0.002937262,0.01885982,0.004377395
ARG,49T53,3.539429512,2.093910412,1.383025431,0.973300207
ARG,45T47,1.273202277,0.781185917,2.244749979,1.177887359
ARG,41T43,0,0,0,0
ARG,35T39,0.00353142,0.003363654,0.010835444,0.004492216
ARG,31T33,0.049294572,0.020136495,0.224827317,0.061960069
ARG,20T21,0.848539402,0.793283249,3.382448115,1.406860411
ARG,17T18,0.523701151,0.422847017,0.196825309,0.1430172
ARG,13T15,0.443311456,0.225429111,1.222316369,0.23523121
ARG,10T12,0.133608021,0.098314918,0.130312708,0.057159148
ARG,07T08,0.126287405,0.516537095,9.86E-05,6.44E-05
ARG,05T06,0.115750343,0.257245669,0.028922363,0.009410564
ARG,01T03,0.22638892,0.424699361,0.002323294,0.000704357
ARG,85,0,0,0,0
ARG,84,0,0,0,0
ARG,68,0.108551691,0.019080789,1.476312303,0.239980432
ARG,61,0.13613309,0.053897146,0.053513508,0.008558802
ARG,30,0.002331378,0.001493973,0.004103306,0.003608687
ARG,29,0.097309874,0.107279442,0.955546383,0.467614548
ARG,28,0.103888601,0.098695423,0.289422927,0.74074056
ARG,27,0.084100125,0.070941036,0.652538807,0.854582482
ARG,26,0.840515485,0.070417167,0.972222328,0.057727032
ARG,25,0.089334784,0.187005455,1.429144056,1.210762878
ARG,24,1.839640748,5.112823538,17.40670019,22.79614215
ARG,23,0.007443154,0.005352049,0.271596577,0.377962618
ARG,22,1.031379788,0.960751193,0.856565348,0.382568556
ARG,19,0.399766313,0.418725425,1.933886599,1.8286332
ARG,16,0.136082561,0.148719761,0.252865071,0.136180193
ARG,9,0,0.000002215,0,0
AUS,97T98,0,0,0,0
AUS,90T96,0.011070592,0.008440796,0.013594581,0.002222578
AUS,86T88,0,0,0,0
AUS,69T82,2.735232703,1.080523033,7.099527982,1.281149956
AUS,64T66,0.102627498,0.03577802,1.247638649,0.342435349
AUS,62T63,0.749124405,0.268682457,0.566290042,0.08603359
AUS,58T60,0.35456125,0.283038145,0.135516603,0.041623528
AUS,55T56,0.105419108,0.06712562,0.050880997,0.011404017
AUS,49T53,15.22744864,12.99588334,4.22307932,1.316995626
AUS,45T47,77.46765459,78.16566178,35.63512928,10.74544813
AUS,41T43,1.159984962,1.62292911,0.874615932,0.304901114
AUS,35T39,0.050583773,0.099812705,0.029877355,0.037574964
AUS,31T33,1.252292061,0.705235995,1.441464115,0.335335179
AUS,20T21,20.33268058,19.96540689,4.573584653,1.897959342
AUS,17T18,3.55179398,3.015054368,0.64439669,0.436479266
AUS,13T15,0.92975157,0.791439662,0.343664966,0.126041974
AUS,10T12,1.483372592,1.649834692,0.467856139,0.210349041
AUS,07T08,7.717476276,31.15833283,0.315459445,0.439242733
AUS,05T06,0.236572091,0.204054383,0.063678824,0.006381395
AUS,01T03,0.200919532,0.380546989,0.000614485,0.000300311
AUS,85,0,0,0,0
AUS,84,0,0,0,0
AUS,68,0.042090752,0.009746838,0.234998069,0.037748691
AUS,61,0.457186004,0.190964093,0.007809495,0.001379753
AUS,30,0.187710638,0.144605163,0.130297961,0.065811803
AUS,29,1.043845843,2.056258019,2.328174379,0.644357518
AUS,28,5.375858365,3.035259141,3.047096217,2.954867275
AUS,27,4.970716346,4.572720684,2.809829717,1.783897507
AUS,26,53.97317692,4.738060446,31.21478582,1.501617809
AUS,25,3.786649647,5.256961971,5.293505027,3.339972389
AUS,24,103.4355943,330.9233579,26.32264125,35.24922129
AUS,23,1.213639293,1.004355021,0.965885913,1.085185237
AUS,22,7.416941055,7.158849633,1.214449925,0.577484265
AUS,19,1.651784111,2.059016202,0.164307274,0.11607311
AUS,16,1.378880111,1.555654586,0.241082249,0.127571114
AUS,9,0,0.000001441,0,0
AUT,97T98,0,0,0,0
AUT,90T96,0.062738015,0.021141583,0.072710571,0.022291064
AUT,86T88,0.132079267,0.020875823,0.048467872,0.011472778
AUT,69T82,3.630214746,1.585326388,9.059255901,1.965564684
AUT,64T66,0.211207946,0.124003874,0.519332284,0.145815592
AUT,62T63,0.192077458,0.061627353,0.346979783,0.079417409
AUT,58T60,0.194680836,0.03531083,0.063619011,0.012278675
AUT,55T56,0.064962332,0.021643162,0.047305047,0.021196516
AUT,49T53,3.928388093,1.954714592,2.429125656,0.905013264
AUT,45T47,23.84471045,6.999089395,12.77622569,7.283258813
AUT,41T43,0.773667619,0.933430898,0.54557054,0.584013393
AUT,35T39,0.153420179,0.121588357,0.082851198,0.054562463
AUT,31T33,0.750890951,0.702532619,1.232743001,0.75126317
AUT,20T21,1.781983388,1.295402312,3.305385232,1.422942934
